player,tour,steal_charting
Laura Pigossi,w,43.4
Laura Siegemund,w,68.9
Lauren Davis,w,24.6
Leandro Riedi,m,16.1
Learner Tien,m,20.1
Leonardo Mayer,m,19.2
Leonie Kung,w,30.6
Lesia Tsurenko,w,19.0
Lesley Pattinama Kerkhove,w,17.0
Leylah Fernandez,w,25.1
Li Tu,m,30.7
Lilli Tagger,w,10.0
Lin Zhu,w,26.8
Linda Fruhvirtova,w,36.1
Linda Klimovicova,w,17.7
Linda Noskova,w,47.8
Lindsay Davenport,w,12.2
Liudmila Samsonova,w,15.7
Lleyton Hewitt,m,16.3
Lloyd Harris,m,27.0
Lois Boisson,w,48.0
Lorenzo Giustino,m,18.1
Lorenzo Musetti,m,48.2
Lorenzo Sonego,m,48.3
Louisa Chirico,w,11.4
Luca Nardi,m,32.0
Luca Van Assche,m,18.5
Lucas Catarina,m,23.2
Lucas Pouille,m,31.9
Lucia Bronzetti,w,31.6
Luciano Darderi,m,41.5
Lucie Safarova,w,12.9
Lukas Lacko,m,10.5
Lukas Rosol,m,23.8
Lulu Sun,w,20.5
Mackenzie Mcdonald,m,23.9
Maddison Inglis,w,35.2
Madison Brengle,w,42.2
Madison Keys,w,13.4
Magda Linette,w,14.2
Magdalena Frech,w,46.5
Magdalena Rybarikova,w,43.6
Magnus Gustafsson,m,9.3
Magnus Larsson,m,33.8
Magnus Norman,m,16.0
Mai Hontama,w,32.0
Maja Chwalinska,w,83.2
Malek Jaziri,m,21.9
Malivai Washington,m,30.1
Marat Safin,m,21.5
Marc Andrea Huesler,m,21.3
Marc Polmans,m,39.2
Marc Rosset,m,27.4
Marcel Granollers,m,24.5
Marcelo Rios,m,14.0
Marco Cecchinato,m,60.3
Marcos Baghdatis,m,25.6
Marcos Giron,m,24.1
Mardy Fish,m,9.9
Margarita Gasparyan,w,24.5
Maria Kirilenko,w,20.5
Maria Lourdes Carle,w,41.8
Maria Sakkari,w,25.8
Maria Sharapova,w,14.5
Maria Timofeeva,w,35.6
Mariano Navone,m,16.3
Mariano Zabaleta,m,24.2
Marie Bouzkova,w,31.7
Marin Cilic,m,12.1
Marinko Matosevic,m,15.3
Mario Ancic,m,13.8
Marion Bartoli,w,17.2
Marius Copil,m,30.0
Mark Philippoussis,m,21.1
Marketa Vondrousova,w,65.6
Marta Kostyuk,w,34.4
Martin Jaite,m,28.6
Martin Klizan,m,37.6
Martin Verkerk,m,11.1
Martina Hingis,w,28.0
Martina Navratilova,w,31.8
Martina Trevisan,w,36.5
Marton Fucsovics,m,22.7
