tour,player,WinUFE,short_win%,long_win%,steal_droplob,BP_conv%,forces_oppUFE,adjUFE
MEN,Raphael Collignon,0.93,49.0,49.7,14.9,,0.00,17.3
MEN,Reilly Opelka,1.56,50.4,42.8,15.3,33.3,-1.11,14.5
MEN,Richard Gasquet,1.20,46.2,48.8,26.7,26.5,-1.22,16.4
MEN,Roberto Bautista Agut,1.03,48.9,52.7,23.6,37.7,1.25,17.6
MEN,Roberto Carballes Baena,1.12,46.0,48.1,32.4,,2.07,16.3
MEN,Robin Haase,1.01,49.3,52.6,39.4,,-0.30,17.2
MEN,Roger Federer,1.04,51.9,54.9,20.7,35.4,-0.66,16.2
MEN,Roman Safiullin,0.98,46.8,49.4,24.4,,2.12,19.1
MEN,Sebastian Baez,0.78,47.3,50.2,28.8,40.2,4.34,19.5
MEN,Sebastian Korda,1.02,48.7,51.2,21.8,38.1,0.34,17.0
MEN,Sergi Bruguera,0.88,,,27.0,,0.80,18.9
MEN,Stan Wawrinka,0.92,49.8,47.9,20.7,37.4,0.82,18.2
MEN,Stefan Edberg,1.20,,,30.1,,-3.53,14.7
MEN,Stefanos Tsitsipas,1.19,51.0,50.6,30.5,38.6,-0.36,15.6
MEN,Steve Johnson,1.10,43.7,,,,-0.85,17.2
MEN,Tallon Griekspoor,1.19,49.7,47.3,34.1,37.3,-1.59,15.5
MEN,Taro Daniel,0.86,44.6,40.0,20.4,,0.86,19.3
MEN,Taylor Fritz,1.14,51.9,48.2,23.5,38.5,-0.08,15.9
MEN,Tennys Sandgren,0.99,49.0,,26.6,,-1.41,17.1
MEN,Thanasi Kokkinakis,1.17,50.0,50.6,22.7,30.0,0.17,16.4
MEN,Thiago Monteiro,1.29,49.0,48.2,27.5,,-1.33,15.4
MEN,Thomas Enqvist,0.84,,,,,0.97,18.3
MEN,Thomas Johansson,0.92,,,17.7,,-0.93,17.4
MEN,Thomas Muster,0.81,,,29.1,,2.23,19.7
MEN,Tim Henman,1.13,,,29.2,,-1.94,14.8
MEN,Tim Van Rijthoven,0.94,50.5,47.5,28.1,,-3.13,16.4
